trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.9934925524020891}",25,0,-99.0715809088907,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.993372734639927}",20,2,-38.167608126039255,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.9932518275176682}",25,0,-82.50729531192465,"{0: 11, 1: 8, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9931298311679027}",25,0,-162.56152170238008,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.9930067457244152}",25,0,-42.897330196174586,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.9928825713221845}",30,10,-58.77069981032471,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.9927573080973837}",30,0,-158.26003882732672,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9926309561873801}",20,9,-31.428626122987428,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.9925035157307344}",35,0,-80.10735643655089,"{0: 25, 1: 3, 2: 4, 3: 3, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9923749868672016}",25,15,-14.720464975539146,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.9922453697377299}",20,0,-71.43600133826725,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9921146644844612}",20,0,-114.19797935144818,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9919828712507303}",30,0,-48.83402069853177,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9918499901810653}",20,0,-98.81949045451256,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.9917160214211874}",25,0,-195.5691660974728,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.9915809651180105}",20,0,-228.00665281229334,"{0: 7, 1: 1, 2: 7, 3: 2, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.991444821419641}",20,0,-210.0187089024332,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
127,False,"{'a': 0.5, 'e': 0.9913075904753779}",30,0,-209.37959378331158,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.9911692724357123}",25,0,-47.696031838191544,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9910298674523278}",25,0,-57.738626012142184,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9908893756780998}",25,0,-151.9466394243126,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.9907477972670952}",20,0,-123.78141006241509,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.990605132374573}",20,0,-234.8166181650386,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 5}",0
